Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,total_queries_count,ts_submit,ts_submit_dt,ts_submit_dt2,standard_queries_count,first_name_queries_count,last_name_queries_count,country_queries_count,other_queries_count,estimated_shards
17,17,17,17,1,2,20,1158818369716,2006-09-21 05:59:29.716,2006-09-19 22:38:30.066855646,18,7,4,4,3,1
18,18,18,18,1,2,20,1158860285716,2006-09-21 17:38:05.716,2006-09-19 22:38:43.192029172,18,3,4,4,7,1
19,19,19,19,1,1,20,1158872601716,2006-09-21 21:03:21.716,2006-09-19 22:38:47.048543085,19,6,4,4,5,1
20,20,20,20,1,2,20,1158873525716,2006-09-21 21:18:45.716,2006-09-19 22:38:47.337875567,18,4,4,4,6,1
21,21,21,21,1,1,20,1158874621716,2006-09-21 21:37:01.716,2006-09-19 22:38:47.681066477,19,8,4,4,3,1
22,22,22,22,1,1,10,1158876993716,2006-09-21 22:16:33.716,2006-09-19 22:38:48.423811768,9,1,2,2,4,1
23,23,23,23,1,1,10,1158975004716,2006-09-23 01:30:04.716,2006-09-19 22:39:19.114034654,9,4,2,2,1,1
24,24,24,24,1,2,20,1158975068716,2006-09-23 01:31:08.716,2006-09-19 22:39:19.134074999,18,3,4,4,7,1
25,25,25,25,1,67,400,1159230626716,2006-09-26 00:30:26.716,2006-09-19 22:40:39.157051811,333,114,80,83,56,1
26,26,26,26,1,32,410,1159230987716,2006-09-26 00:36:27.716,2006-09-19 22:40:39.270091883,378,116,94,94,74,1
27,27,27,27,4,83,660,1159296461716,2006-09-26 18:47:41.716,2006-09-19 22:40:59.771991193,577,129,144,144,160,1
28,28,28,28,4,184,1330,1159300075716,2006-09-26 19:47:55.716,2006-09-19 22:41:00.903644431,1146,418,274,271,183,1
29,29,29,29,10,168,2950,1159305652716,2006-09-26 21:20:52.716,2006-09-19 22:41:02.649972629,2782,1118,467,692,505,3
30,30,30,30,1,14,100,1159313258716,2006-09-26 23:27:38.716,2006-09-19 22:41:05.031642393,86,41,9,19,17,1
31,31,31,31,1,7,100,1159314736716,2006-09-26 23:52:16.716,2006-09-19 22:41:05.494449113,93,36,22,21,14,1
32,32,32,32,1,3,60,1159314931716,2006-09-26 23:55:31.716,2006-09-19 22:41:05.555509540,57,19,13,14,11,1
33,33,33,33,1,1,10,1159316836716,2006-09-27 00:27:16.716,2006-09-19 22:41:06.152022937,9,2,2,2,3,1
34,34,34,34,1,1,10,1159321892716,2006-09-27 01:51:32.716,2006-09-19 22:41:07.735210201,9,4,2,2,1,1
35,35,35,35,1,3,20,1159322663716,2006-09-27 02:04:23.716,2006-09-19 22:41:07.976633734,17,3,4,4,6,1
36,36,36,36,1,1,20,1159323697716,2006-09-27 02:21:37.716,2006-09-19 22:41:08.300410559,19,6,4,4,5,1
37,37,37,37,1,1,20,1159381749716,2006-09-27 18:29:09.716,2006-09-19 22:41:26.478256097,19,8,4,4,3,1
38,38,38,38,1,1,10,1159383277716,2006-09-27 18:54:37.716,2006-09-19 22:41:26.956719337,9,2,2,2,3,1
39,39,39,39,1,2,20,1159383444716,2006-09-27 18:57:24.716,2006-09-19 22:41:27.009012112,18,4,4,4,6,1
40,40,40,40,1,1,20,1159383700716,2006-09-27 19:01:40.716,2006-09-19 22:41:27.089173493,19,3,4,4,8,1
41,41,41,41,1,2,20,1159384139716,2006-09-27 19:08:59.716,2006-09-19 22:41:27.226637735,18,4,4,4,6,1
42,42,42,42,1,1,20,1159384351716,2006-09-27 19:12:31.716,2006-09-19 22:41:27.293021378,19,7,4,4,4,1
43,43,43,43,1,3,20,1159384590716,2006-09-27 19:16:30.716,2006-09-19 22:41:27.367859542,17,4,4,4,5,1
44,44,44,44,1,1,10,1159384742716,2006-09-27 19:19:02.716,2006-09-19 22:41:27.415455361,9,4,2,2,1,1
45,45,45,45,1,1,10,1159385146716,2006-09-27 19:25:46.716,2006-09-19 22:41:27.541960040,9,4,2,2,1,1
46,46,46,46,1,1,20,1159385533716,2006-09-27 19:32:13.716,2006-09-19 22:41:27.663141502,19,9,4,3,3,1
47,47,47,47,1,2,20,1159389682716,2006-09-27 20:41:22.716,2006-09-19 22:41:28.962319500,18,6,4,4,4,1
48,48,48,48,1,2,20,1159389959716,2006-09-27 20:45:59.716,2006-09-19 22:41:29.049056618,18,7,4,4,3,1
49,49,49,49,1,1,10,1159390425716,2006-09-27 20:53:45.716,2006-09-19 22:41:29.194975381,9,4,2,2,1,1
50,50,50,50,1,1,10,1159390638716,2006-09-27 20:57:18.716,2006-09-19 22:41:29.261672155,9,3,2,2,2,1
51,51,51,51,1,1,10,1159390847716,2006-09-27 21:00:47.716,2006-09-19 22:41:29.327116407,9,3,2,2,2,1
52,52,52,52,1,3,20,1159391071716,2006-09-27 21:04:31.716,2006-09-19 22:41:29.397257615,17,8,2,4,3,1
53,53,53,53,1,3,20,1159391856716,2006-09-27 21:17:36.716,2006-09-19 22:41:29.643064973,17,6,4,4,3,1
54,54,54,54,1,2,20,1159394259716,2006-09-27 21:57:39.716,2006-09-19 22:41:30.395517306,18,4,4,4,6,1
55,55,55,55,1,3,20,1159394756716,2006-09-27 22:05:56.716,2006-09-19 22:41:30.551143111,17,6,4,4,3,1
56,56,56,56,1,1,20,1159395139716,2006-09-27 22:12:19.716,2006-09-19 22:41:30.671072051,19,4,4,4,7,1
57,57,57,57,1,1,10,1159396201716,2006-09-27 22:30:01.716,2006-09-19 22:41:31.003616527,9,2,2,2,3,1
58,58,58,58,1,1,10,1159396286716,2006-09-27 22:31:26.716,2006-09-19 22:41:31.030232611,9,2,2,2,3,1
59,59,59,59,1,1,10,1159397058716,2006-09-27 22:44:18.716,2006-09-19 22:41:31.271969274,9,2,2,2,3,1
60,60,60,60,1,1,10,1159473907716,2006-09-28 20:05:07.716,2006-09-19 22:41:55.335726797,9,2,2,2,3,1
61,61,61,61,1,1,10,1159473981716,2006-09-28 20:06:21.716,2006-09-19 22:41:55.358898446,9,4,2,2,1,1
62,62,62,62,1,1,10,1159474295716,2006-09-28 20:11:35.716,2006-09-19 22:41:55.457221389,9,2,2,2,3,1
63,63,63,63,1,2,20,1159481923716,2006-09-28 22:18:43.716,2006-09-19 22:41:57.845780022,18,7,4,4,3,1
64,64,64,64,1,1,10,1159486844716,2006-09-28 23:40:44.716,2006-09-19 22:41:59.386694683,9,3,2,2,2,1
65,65,65,65,1,1,10,1159486908716,2006-09-28 23:41:48.716,2006-09-19 22:41:59.406735028,9,2,2,2,3,1
66,66,66,66,1,1,10,1159488026716,2006-09-29 00:00:26.716,2006-09-19 22:41:59.756814807,9,2,2,2,3,1
67,67,67,67,1,3,20,1159489659716,2006-09-29 00:27:39.716,2006-09-19 22:42:00.268156737,17,6,4,4,3,1
68,68,68,68,1,1,10,1159489813716,2006-09-29 00:30:13.716,2006-09-19 22:42:00.316378818,9,2,2,2,3,1
69,69,69,69,1,3,20,1159489834716,2006-09-29 00:30:34.716,2006-09-19 22:42:00.322954556,17,4,4,4,5,1
70,70,70,70,1,1,10,1159489868716,2006-09-29 00:31:08.716,2006-09-19 22:42:00.333600989,9,2,2,2,3,1
71,71,71,71,1,1,20,1159491286716,2006-09-29 00:54:46.716,2006-09-19 22:42:00.777619886,19,6,4,4,5,1
72,72,72,72,1,1,10,1159492851716,2006-09-29 01:20:51.716,2006-09-19 22:42:01.267668950,9,2,2,2,3,1
73,73,73,73,1,18,110,1159492911716,2006-09-29 01:21:51.716,2006-09-19 22:42:01.286456773,92,33,23,21,15,1
74,74,74,74,8,366,2350,1159493418716,2006-09-29 01:30:18.716,2006-09-19 22:42:01.445213882,1984,691,485,491,317,2
75,75,75,75,1,1,10,1159493524716,2006-09-29 01:32:04.716,2006-09-19 22:42:01.478405704,9,1,2,2,4,1
76,76,76,76,8,389,2350,1159494988716,2006-09-29 01:56:28.716,2006-09-19 22:42:01.936828598,1961,729,460,432,340,2
77,77,77,77,8,143,2350,1159550716716,2006-09-29 17:25:16.716,2006-09-19 22:42:19.386959104,2207,657,551,551,448,2
78,78,78,78,1,38,370,1159556254716,2006-09-29 18:57:34.716,2006-09-19 22:42:21.121075217,332,125,70,79,58,1
79,79,79,79,1,1,20,1159558058716,2006-09-29 19:27:38.716,2006-09-19 22:42:21.685962445,19,7,4,4,4,1
80,80,80,80,6,174,970,1159560254716,2006-09-29 20:04:14.716,2006-09-19 22:42:22.373596786,796,173,199,199,225,1
81,81,81,81,1,2,20,1159562840716,2006-09-29 20:47:20.716,2006-09-19 22:42:23.183351981,18,7,4,4,3,1
82,82,82,82,1,1,10,1159573510716,2006-09-29 23:45:10.716,2006-09-19 22:42:26.524453268,9,1,2,2,4,1
83,83,83,83,1,3,60,1159574743716,2006-09-30 00:05:43.716,2006-09-19 22:42:26.910543041,57,17,14,14,12,1
84,84,84,84,8,227,2350,1159576364716,2006-09-30 00:32:44.716,2006-09-19 22:42:27.418127407,2123,944,353,464,362,2
85,85,85,85,1,1,20,1159578773716,2006-09-30 01:12:53.716,2006-09-19 22:42:28.172458523,19,5,4,4,6,1
86,86,86,86,1,15,100,1159578982716,2006-09-30 01:16:22.716,2006-09-19 22:42:28.237902775,85,35,12,21,17,1
87,87,87,87,1,1,10,1159579756716,2006-09-30 01:29:16.716,2006-09-19 22:42:28.480265698,9,4,2,2,1,1
88,88,88,88,1,71,390,1159581133716,2006-09-30 01:52:13.716,2006-09-19 22:42:28.911446249,319,97,79,79,64,1
89,89,89,89,1,49,410,1159811059716,2006-10-02 17:44:19.716,2006-09-19 22:43:40.908264844,361,106,90,90,75,1
90,90,90,90,12,116,1710,1159811515716,2006-10-02 17:51:55.716,2006-09-19 22:43:41.051052303,1594,606,394,280,314,4
91,91,91,91,1,1,10,1159815549716,2006-10-02 18:59:09.716,2006-09-19 22:43:42.314220306,9,2,2,2,3,1
92,92,92,92,1,67,410,1159815654716,2006-10-02 19:00:54.716,2006-09-19 22:43:42.347098997,343,170,60,72,41,1
93,93,93,93,1,1,10,1159815836716,2006-10-02 19:03:56.716,2006-09-19 22:43:42.404088728,9,3,2,2,2,1
94,94,94,94,1,3,20,1159816208716,2006-10-02 19:10:08.716,2006-09-19 22:43:42.520573234,17,3,4,4,6,1
95,95,95,95,1,2,20,1159816592716,2006-10-02 19:16:32.716,2006-09-19 22:43:42.640815305,18,6,4,4,4,1
96,96,96,96,1,2,20,1159816924716,2006-10-02 19:22:04.716,2006-09-19 22:43:42.744774595,18,4,4,4,6,1
97,97,97,97,1,1,10,1159817259716,2006-10-02 19:27:39.716,2006-09-19 22:43:42.849673276,9,1,2,2,4,1
98,98,98,98,1,1,10,1159817433716,2006-10-02 19:30:33.716,2006-09-19 22:43:42.904157965,9,4,2,2,1,1
99,99,99,99,14,136,2060,1159818473716,2006-10-02 19:47:53.716,2006-09-19 22:43:43.229813573,1924,886,234,443,361,6
100,100,100,100,1,1,20,1159819830716,2006-10-02 20:10:30.716,2006-09-19 22:43:43.654731515,19,7,4,4,4,1
101,101,101,101,1,2,20,1159820002716,2006-10-02 20:13:22.716,2006-09-19 22:43:43.708589943,18,5,4,4,5,1
102,102,102,102,1,1,20,1159820214716,2006-10-02 20:16:54.716,2006-09-19 22:43:43.774973586,19,6,4,4,5,1
103,103,103,103,1,1,10,1159820627716,2006-10-02 20:23:47.716,2006-09-19 22:43:43.904296438,9,4,2,2,1,1
104,104,104,104,1,1,10,1159832513716,2006-10-02 23:41:53.716,2006-09-19 22:43:47.626164282,9,2,2,2,3,1
105,105,105,105,1,1,20,1159837754716,2006-10-03 01:09:14.716,2006-09-19 22:43:49.267280668,19,5,4,4,6,1
106,106,106,106,1,1,10,1159840320716,2006-10-03 01:52:00.716,2006-09-19 22:43:50.070773255,9,3,2,2,2,1
107,107,107,107,1,1,10,1159840428716,2006-10-03 01:53:48.716,2006-09-19 22:43:50.104591337,9,1,2,2,4,1
108,108,108,108,1,1,10,1159841885716,2006-10-03 02:18:05.716,2006-09-19 22:43:50.560822319,9,3,2,2,2,1
109,109,109,109,1,1,10,1159842665716,2006-10-03 02:31:05.716,2006-09-19 22:43:50.805064025,9,1,2,2,4,1
110,110,110,110,1,1,10,1159904979716,2006-10-03 19:49:39.716,2006-09-19 22:44:10.317471295,9,3,2,2,2,1
111,111,111,111,1,1,20,1159907163716,2006-10-03 20:26:03.716,2006-09-19 22:44:11.001348072,19,8,4,4,3,1
112,112,112,112,1,3,20,1159907592716,2006-10-03 20:33:12.716,2006-09-19 22:44:11.135681010,17,5,4,4,4,1
113,113,113,113,1,1,10,1159909127716,2006-10-03 20:58:47.716,2006-09-19 22:44:11.616336162,9,1,2,2,4,1
114,114,114,114,1,1,10,1159909327716,2006-10-03 21:02:07.716,2006-09-19 22:44:11.678962241,9,1,2,2,4,1
115,115,115,115,1,3,20,1159910044716,2006-10-03 21:14:04.716,2006-09-19 22:44:11.903476732,17,4,4,4,5,1
116,116,116,116,1,1,10,1159912187716,2006-10-03 21:49:47.716,2006-09-19 22:44:12.574515163,9,3,2,2,2,1
117,117,117,117,1,1,10,1159912770716,2006-10-03 21:59:30.716,2006-09-19 22:44:12.757070182,9,3,2,2,2,1
118,118,118,118,1,1,10,1159915296716,2006-10-03 22:41:36.716,2006-09-19 22:44:13.548037553,9,2,2,2,3,1
119,119,119,119,5,106,810,1159916135716,2006-10-03 22:55:35.716,2006-09-19 22:44:13.810753952,704,242,172,158,132,1
120,120,120,120,1,1,10,1159918173716,2006-10-03 23:29:33.716,2006-09-19 22:44:14.448913692,9,3,2,2,2,1
121,121,121,121,5,145,790,1159919683716,2006-10-03 23:54:43.716,2006-09-19 22:44:14.921740584,645,143,161,161,180,1
122,122,122,122,1,1,10,1159921566716,2006-10-04 00:26:06.716,2006-09-19 22:44:15.511365113,9,2,2,2,3,1
123,123,123,123,1,1,10,1159922942716,2006-10-04 00:49:02.716,2006-09-19 22:44:15.942232533,9,2,2,2,3,1
124,124,124,124,1,1,10,1159923251716,2006-10-04 00:54:11.716,2006-09-19 22:44:16.038989824,9,4,2,2,1,1
125,125,125,125,1,1,10,1159925165716,2006-10-04 01:26:05.716,2006-09-19 22:44:16.638321395,9,1,2,2,4,1
126,126,126,126,1,1,10,1159925240716,2006-10-04 01:27:20.716,2006-09-19 22:44:16.661806175,9,3,2,2,2,1
127,127,127,127,1,1,10,1159925790716,2006-10-04 01:36:30.716,2006-09-19 22:44:16.834027890,9,3,2,2,2,1
128,128,128,128,1,1,10,1159940496716,2006-10-04 05:41:36.716,2006-09-19 22:44:21.438923441,9,4,2,2,1,1
129,129,129,129,1,2,20,1159941362716,2006-10-04 05:56:02.716,2006-09-19 22:44:21.710094360,18,9,2,4,3,1
130,130,130,130,1,1,10,1159985916716,2006-10-04 18:18:36.716,2006-09-19 22:44:35.661305862,9,4,2,2,1,1
131,131,131,131,1,1,10,1159987291716,2006-10-04 18:41:31.716,2006-09-19 22:44:36.091860151,9,1,2,2,4,1
132,132,132,132,1,2,40,1159987647716,2006-10-04 18:47:27.716,2006-09-19 22:44:36.203334571,38,10,9,9,10,1
133,133,133,133,1,4,40,1159988156716,2006-10-04 18:55:56.716,2006-09-19 22:44:36.362717941,36,11,9,9,7,1
134,134,134,134,1,1,10,1159988953716,2006-10-04 19:09:13.716,2006-09-19 22:44:36.612282863,9,3,2,2,2,1
135,135,135,135,1,10,110,1159989135716,2006-10-04 19:12:15.716,2006-09-19 22:44:36.669272595,100,26,25,25,24,1
136,136,136,136,1,14,110,1159989875716,2006-10-04 19:24:35.716,2006-09-19 22:44:36.900989085,96,31,24,24,17,1
137,137,137,137,1,17,110,1159990360716,2006-10-04 19:32:40.716,2006-09-19 22:44:37.052857325,93,46,9,20,18,1
138,138,138,138,1,5,50,1159992590716,2006-10-04 20:09:50.716,2006-09-19 22:44:37.751138100,45,15,10,11,9,1
139,139,139,139,1,1,10,1159994002716,2006-10-04 20:33:22.716,2006-09-19 22:44:38.193278214,9,3,2,2,2,1
140,140,140,140,1,1,10,1159994814716,2006-10-04 20:46:54.716,2006-09-19 22:44:38.447540093,9,2,2,2,3,1
141,141,141,141,1,9,110,1159996566716,2006-10-04 21:16:06.716,2006-09-19 22:44:38.996144540,101,47,10,25,19,1
142,142,142,142,1,6,50,1159997468716,2006-10-04 21:31:08.716,2006-09-19 22:44:39.278588154,44,20,10,6,8,1
143,143,143,143,1,10,110,1160000161716,2006-10-04 22:16:01.716,2006-09-19 22:44:40.121848301,100,40,20,23,17,1
144,144,144,144,1,4,50,1160000426716,2006-10-04 22:20:26.716,2006-09-19 22:44:40.204827855,46,20,9,11,6,1
145,145,145,145,1,12,220,1160000499716,2006-10-04 22:21:39.716,2006-09-19 22:44:40.227686374,208,60,52,52,44,1
146,146,146,146,1,1,10,1160000709716,2006-10-04 22:25:09.716,2006-09-19 22:44:40.293443756,9,2,2,2,3,1
147,147,147,147,1,13,110,1160000859716,2006-10-04 22:27:39.716,2006-09-19 22:44:40.340413315,97,48,16,23,10,1
148,148,148,148,1,1,10,1160001258716,2006-10-04 22:34:18.716,2006-09-19 22:44:40.465352341,9,3,2,2,2,1
149,149,149,149,1,1,10,1160001538716,2006-10-04 22:38:58.716,2006-09-19 22:44:40.553028851,9,4,2,2,1,1
150,150,150,150,1,1,10,1160001579716,2006-10-04 22:39:39.716,2006-09-19 22:44:40.565867197,9,1,2,2,4,1
151,151,151,151,1,1,10,1160001632716,2006-10-04 22:40:32.716,2006-09-19 22:44:40.582463108,9,3,2,2,2,1
152,152,152,152,1,1,10,1160002910716,2006-10-04 23:01:50.716,2006-09-19 22:44:40.982643750,9,2,2,2,3,1
153,153,153,153,1,13,110,1160003343716,2006-10-04 23:09:03.716,2006-09-19 22:44:41.118229210,97,19,24,24,30,1
154,154,154,154,1,1,10,1160003787716,2006-10-04 23:16:27.716,2006-09-19 22:44:41.257259104,9,1,2,2,4,1
155,155,155,155,1,1,10,1160005190716,2006-10-04 23:39:50.716,2006-09-19 22:44:41.696581044,9,1,2,2,4,1
156,156,156,156,1,1,10,1160005493716,2006-10-04 23:44:53.716,2006-09-19 22:44:41.791459553,9,3,2,2,2,1
157,157,157,157,1,1,10,1160005596716,2006-10-04 23:46:36.716,2006-09-19 22:44:41.823711984,9,2,2,2,3,1
158,158,158,158,1,1,20,1160008462716,2006-10-05 00:34:22.716,2006-09-19 22:44:42.721143688,19,3,4,4,8,1
159,159,159,159,1,1,10,1160010287716,2006-10-05 01:04:47.716,2006-09-19 22:44:43.292606654,9,4,2,2,1,1
160,160,160,160,1,1,10,1160010372716,2006-10-05 01:06:12.716,2006-09-19 22:44:43.319222737,9,1,2,2,4,1
161,161,161,161,1,15,110,1160010946716,2006-10-05 01:15:46.716,2006-09-19 22:44:43.498959583,95,27,23,23,22,1
162,162,162,162,1,1,10,1160011188716,2006-10-05 01:19:48.716,2006-09-19 22:44:43.574737138,9,3,2,2,2,1
163,163,163,163,1,1,10,1160011874716,2006-10-05 01:31:14.716,2006-09-19 22:44:43.789544587,9,3,2,2,2,1
164,164,164,164,1,1,10,1160012502716,2006-10-05 01:41:42.716,2006-09-19 22:44:43.986190473,9,2,2,2,3,1
165,165,165,165,1,1,10,1160013296716,2006-10-05 01:54:56.716,2006-09-19 22:44:44.234816005,9,4,2,2,1,1
166,166,166,166,1,1,10,1160013428716,2006-10-05 01:57:08.716,2006-09-19 22:44:44.276149217,9,3,2,2,2,1
167,167,167,167,1,1,10,1160013501716,2006-10-05 01:58:21.716,2006-09-19 22:44:44.299007735,9,1,2,2,4,1
168,168,168,168,1,6,110,1160013575716,2006-10-05 01:59:35.716,2006-09-19 22:44:44.322179384,104,52,24,17,11,1
169,169,169,169,1,15,110,1160013860716,2006-10-05 02:04:20.716,2006-09-19 22:44:44.411421546,95,30,23,23,19,1
170,170,170,170,1,1,10,1160037124716,2006-10-05 08:32:04.716,2006-09-19 22:44:51.696086994,9,4,2,2,1,1
171,171,171,171,1,2,50,1160037167716,2006-10-05 08:32:47.716,2006-09-19 22:44:51.709551601,48,23,9,7,9,1
172,172,172,172,1,31,250,1160037281716,2006-10-05 08:34:41.716,2006-09-19 22:44:51.745248466,219,94,44,54,27,1
173,173,173,173,1,51,610,1160038140716,2006-10-05 08:49:00.716,2006-09-19 22:44:52.014227473,559,162,139,139,119,1
174,174,174,174,1,1,10,1160072660716,2006-10-05 18:24:20.716,2006-09-19 22:45:02.823488617,9,4,2,2,1,1
175,175,175,175,1,8,110,1160074010716,2006-10-05 18:46:50.716,2006-09-19 22:45:03.246214647,102,49,14,20,19,1
176,176,176,176,1,1,10,1160076483716,2006-10-05 19:28:03.716,2006-09-19 22:45:04.020586107,9,3,2,2,2,1
177,177,177,177,1,65,610,1160090983716,2006-10-05 23:29:43.716,2006-09-19 22:45:08.560976797,545,221,115,116,93,1
178,178,178,178,1,1,10,1160092149716,2006-10-05 23:49:09.716,2006-09-19 22:45:08.926086834,9,3,2,2,2,1
179,179,179,179,1,1,10,1160092166716,2006-10-05 23:49:26.716,2006-09-19 22:45:08.931410051,9,1,2,2,4,1
180,180,180,180,1,5,50,1160092321716,2006-10-05 23:52:01.716,2006-09-19 22:45:08.979945262,45,10,11,11,13,1
181,181,181,181,1,1,20,1160092477716,2006-10-05 23:54:37.716,2006-09-19 22:45:09.028793603,19,4,4,4,7,1
182,182,182,182,1,20,110,1160092976716,2006-10-06 00:02:56.716,2006-09-19 22:45:09.185045669,90,45,9,18,18,1
183,183,183,183,1,110,610,1160093142716,2006-10-06 00:05:42.716,2006-09-19 22:45:09.237025314,500,228,65,108,99,1
184,184,184,184,1,9,110,1160093539716,2006-10-06 00:12:19.716,2006-09-19 22:45:09.361338079,101,40,25,21,15,1
185,185,185,185,1,16,110,1160094627716,2006-10-06 00:30:27.716,2006-09-19 22:45:09.702023946,94,40,16,22,16,1
186,186,186,186,1,3,20,1160095173716,2006-10-06 00:39:33.716,2006-09-19 22:45:09.872993141,17,5,4,4,4,1
187,187,187,187,1,1,10,1160095359716,2006-10-06 00:42:39.716,2006-09-19 22:45:09.931235394,9,4,2,2,1,1
188,188,188,188,1,1,10,1160095513716,2006-10-06 00:45:13.716,2006-09-19 22:45:09.979457474,9,3,2,2,2,1
189,189,189,189,1,1,10,1160095989716,2006-10-06 00:53:09.716,2006-09-19 22:45:10.128507541,9,1,2,2,4,1
190,190,190,190,1,1,10,1160096048716,2006-10-06 00:54:08.716,2006-09-19 22:45:10.146982234,9,3,2,2,2,1
191,191,191,191,1,1,10,1160096132716,2006-10-06 00:55:32.716,2006-09-19 22:45:10.173285187,9,2,2,2,3,1
192,192,192,192,1,1,10,1160096252716,2006-10-06 00:57:32.716,2006-09-19 22:45:10.210860834,9,4,2,2,1,1
193,193,193,193,1,1,10,1160096304716,2006-10-06 00:58:24.716,2006-09-19 22:45:10.227143614,9,1,2,2,4,1
194,194,194,194,1,1,10,1160096950716,2006-10-06 01:09:10.716,2006-09-19 22:45:10.429425848,9,4,2,2,1,1
195,195,195,195,1,1,10,1160097102716,2006-10-06 01:11:42.716,2006-09-19 22:45:10.477021667,9,2,2,2,3,1
196,196,196,196,1,1,10,1160097750716,2006-10-06 01:22:30.716,2006-09-19 22:45:10.679930162,9,2,2,2,3,1
197,197,197,197,13,717,3890,1160098064716,2006-10-06 01:27:44.716,2006-09-19 22:45:10.778253105,3173,1540,716,522,395,5
198,198,198,198,1,3,20,1160098123716,2006-10-06 01:28:43.716,2006-09-19 22:45:10.796727798,17,3,4,4,6,1
199,199,199,199,1,3,20,1160098257716,2006-10-06 01:30:57.716,2006-09-19 22:45:10.838687271,17,3,4,4,6,1
200,200,200,200,1,2,20,1160098506716,2006-10-06 01:35:06.716,2006-09-19 22:45:10.916656738,18,6,4,4,4,1
201,201,201,201,13,243,3890,1160099128716,2006-10-06 01:45:28.716,2006-09-19 22:45:11.111423842,3647,915,911,911,910,5
202,202,202,202,1,15,210,1160099562716,2006-10-06 01:52:42.716,2006-09-19 22:45:11.247322433,195,44,48,48,55,1
203,203,203,203,1,1,10,1160102680716,2006-10-06 02:44:40.716,2006-09-19 22:45:12.223662996,9,4,2,2,1,1
204,204,204,204,1,1,10,1160103473716,2006-10-06 02:57:53.716,2006-09-19 22:45:12.471975397,9,1,2,2,4,1
205,205,205,205,1,1,10,1160103881716,2006-10-06 03:04:41.716,2006-09-19 22:45:12.599732597,9,3,2,2,2,1
206,206,206,206,1,1,10,1160104008716,2006-10-06 03:06:48.716,2006-09-19 22:45:12.639500157,9,4,2,2,1,1
207,207,207,207,1,1,10,1160104240716,2006-10-06 03:10:40.716,2006-09-19 22:45:12.712146408,9,4,2,2,1,1
208,208,208,208,1,1,10,1160104827716,2006-10-06 03:20:27.716,2006-09-19 22:45:12.895953948,9,3,2,2,2,1
209,209,209,209,1,1,10,1160105349716,2006-10-06 03:29:09.716,2006-09-19 22:45:13.059408013,9,4,2,2,1,1
210,210,210,210,1,1,10,1160105460716,2006-10-06 03:31:00.716,2006-09-19 22:45:13.094165487,9,3,2,2,2,1
211,211,211,211,1,1,10,1160105731716,2006-10-06 03:35:31.716,2006-09-19 22:45:13.179023823,9,2,2,2,3,1
212,212,212,212,1,1,10,1160106067716,2006-10-06 03:41:07.716,2006-09-19 22:45:13.284235635,9,3,2,2,2,1
